1	w	14901	3.50091981082205%	3.50091981082205%
2	i	9238	2.170424616628018%	5.671344427450069%
3	z	6234	1.4646489564904812%	7.13599338394055%
4	na	5670	1.3321398112449516%	8.468133195185501%
5	siê	4934	1.1592200756053952%	9.627353270790897%
6	do	4219	0.991234191118598%	10.618587461909494%
7	jest	3077	0.7229266665256995%	11.341514128435193%
8	–	2597	0.6101529258912063%	11.9516670543264%
9	a	2173	0.5105361216640705%	12.46220317599047%
10	nie	1990	0.46754113304717%	12.929744309037641%
11	o	1812	0.42572087089521204%	13.355465179932853%
12	od	1778	0.41773273093360214%	13.773197910866454%
13	przez	1736	0.40786502862808394%	14.181062939494538%
14	to	1710	0.4017564510103822%	14.582819390504921%
15	po	1285	0.301904701490258%	14.88472409199518%
16	oraz	1267	0.2976756862164645%	15.182399778211643%
17	s¹	1117	0.26243389226818536%	15.444833670479829%
18	roku	1105	0.25961454875232304%	15.704448219232152%
19	px	1101	0.2586747675803689%	15.96312298681252%
20	¿e	1080	0.2537409164276098%	16.21686390324013%
21	ref	1080	0.2537409164276098%	16.47060481966774%
22	lub	1029	0.24175870648519493%	16.712363526152934%
23	m	964	0.22648726244094064%	16.938850788593875%
24	za	949	0.2229630830461127%	17.16181387163999%
25	jako	943	0.22155341128818154%	17.38336728292817%
26	jego	936	0.21990879423726184%	17.603276077165432%
27	dla	844	0.19829382728231731%	17.80156990444775%
28	http	839	0.1971191008173747%	17.998689005265124%
29	thumb	831	0.19523953847346645%	18.19392854373859%
30	r	821	0.19289008554358117%	18.38681862928217%
31	te¿	820	0.19265514025059266%	18.579473769532765%
32	n	767	0.1802030397222007%	18.759676809254966%
33	p	715	0.16798588448679724%	18.927662693741762%
34	e	715	0.16798588448679724%	19.09564857822856%
35	jak	712	0.16728104860783166%	19.262929626836392%
36	by³	675	0.15858807276725614%	19.421517699603648%
37	tak¿e	658	0.15459400278645116%	19.576111702390097%
38	www	657	0.15435905749346265%	19.730470759883563%
39	tym	639	0.15013004221966916%	19.88060080210323%
40	co	615	0.14449135518794448%	20.025092157291176%
41	pod	611	0.14355157401599036%	20.168643731307164%
42	jednak	603	0.14167201167208215%	20.31031574297925%
43	style	600	0.14096717579311657%	20.451282918772364%
44	ze	598	0.14049728520713953%	20.591780203979503%
45	np	581	0.13650321522633455%	20.728283419205837%
46	pl	534	0.12546078645587375%	20.853744205661712%
47	c	529	0.1242860599909311%	20.97803026565264%
48	tego	501	0.11770759178725233%	21.095737857439897%
49	jej	496	0.1165328653223097%	21.212270722762206%
50	równie¿	483	0.11347857651345884%	21.325749299275664%
51	który	481	0.11300868592748178%	21.438757985203146%
52	ich	477	0.11206890475552768%	21.550826889958675%
53	które	466	0.10948450653265387%	21.660311396491327%
54	right	460	0.10807483477472271%	21.76838623126605%
55	lat	456	0.10713505360276859%	21.875521284868817%
56	nazwa	453	0.10643021772380301%	21.981951502592622%
57	zosta³	452	0.10619527243081449%	22.088146775023436%
58	s	448	0.10525549125886037%	22.193402266282295%
59	wieku	446	0.10478560067288333%	22.29818786695518%
60	miasta	446	0.10478560067288333%	22.402973467628062%
61	ii	436	0.10243614774299804%	22.50540961537106%
62	zobacz	431	0.1012614212780554%	22.606671036649118%
63	ma	416	0.0977372418832275%	22.704408278532345%
64	tylko	414	0.09726735129725043%	22.801675629829596%
65	ale	401	0.09421306248839957%	22.895888692317993%
66	przy	395	0.09280339073046841%	22.988692083048463%
67	in	393	0.09233350014449135%	23.081025583192954%
68	mo¿e	370	0.08692975840575522%	23.16795534159871%
69	latach	365	0.08575503194081258%	23.253710373539523%
70	mo¿na	363	0.08528514135483553%	23.338995514894357%
71	by³a	361	0.08481525076885847%	23.423810765663216%
72	polski	359	0.08434536018288141%	23.508156125846096%
73	byæ	350	0.08223085254598467%	23.590386978392083%
74	x	350	0.08223085254598467%	23.672617830938066%
75	ten	346	0.08129107137403056%	23.753908902312098%
76	nbsp	342	0.08035129020207644%	23.834260192514172%
77	u	335	0.07870667315115676%	23.91296686566533%
78	tak	331	0.07776689197920264%	23.99073375764453%
79	flaga	326	0.07659216551426%	24.067325923158794%
80	b	322	0.0756523843423059%	24.1429783075011%
81	czy	321	0.07541743904931737%	24.218395746550417%
82	nad	318	0.07471260317035178%	24.293108349720768%
83	inne	311	0.07306798611943209%	24.3661763358402%
84	the	311	0.07306798611943209%	24.43924432195963%
85	pañstwo	309	0.07259809553345503%	24.511842417493085%
86	ok	302	0.07095347848253535%	24.58279589597562%
87	ju¿	302	0.07095347848253535%	24.653749374458158%
88	tej	301	0.07071853318954681%	24.724467907647703%
89	sup	301	0.07071853318954681%	24.795186440837252%
90	bardzo	297	0.0697787520175927%	24.864965192854843%
91	przed	296	0.06954380672460418%	24.93450899957945%
92	innych	294	0.06907391613862712%	25.003582915718074%
93	miejsce	289	0.06789918967368448%	25.07148210539176%
94	by³o	283	0.06648951791575332%	25.137971623307514%
95	k	281	0.06601962732977626%	25.20399125063729%
96	of	278	0.06531479145081068%	25.2693060420881%
97	background	273	0.06414006498586804%	25.333446107073968%
98	czyli	271	0.06367017439989099%	25.39711628147386%
99	których	269	0.06320028381391393%	25.460316565287773%
100	go	268	0.0629653385209254%	25.523281903808698%
101	czasie	267	0.06273039322793687%	25.586012297036635%
102	de	266	0.06249544793494835%	25.64850774497158%
103	te	266	0.06249544793494835%	25.71100319290653%
104	t	264	0.06202555734897129%	25.773028750255502%
105	pañstwa	260	0.06108577617701718%	25.83411452643252%
