1	w	10649403	3.235566934748972%	3.235566934748972%
2	i	4848279	1.4730338614134342%	4.708600796162406%
3	na	3639553	1.1057913146930796%	5.8143921108554855%
4	z	3630530	1.103049891492902%	6.917442002348388%
5	do	2450847	0.7446313671600853%	7.662073369508473%
6	siê	2181622	0.6628337764399489%	8.324907145948423%
7	http	1716419	0.521492947780725%	8.846400093729146%
8	data	1637118	0.49739923158907284%	9.34379932531822%
9	flaga	1632973	0.49613987226681466%	9.839939197585034%
10	www	1569274	0.47678645140589176%	10.316725648990927%
11	a	1496224	0.45459195237309036%	10.771317601364016%
12	tytu³	1180021	0.3585212175658501%	11.129838818929867%
13	jest	1179466	0.3583525940619048%	11.488191412991771%
14	roku	1134178	0.3445929161399676%	11.832784329131739%
15	nie	1121077	0.3406124899684586%	12.173396819100198%
16	rd	1026978	0.31202275465719814%	12.485419573757396%
17	od	969308	0.2945011015535478%	12.779920675310944%
18	o	954551	0.290017539305402%	13.069938214616345%
19	pl	925332	0.28114004351841465%	13.351078258134761%
20	nazwa	914903	0.27797144077490904%	13.62904969890967%
21	to	903275	0.2744385504976549%	13.903488249407324%
22	r	899198	0.27319985135245667%	14.176688100759781%
23	przez	842807	0.25606679187321363%	14.432754892632994%
24	px	832284	0.2528696294731839%	14.685624522106178%
25	po	816607	0.2481065471824621%	14.93373106928864%
26	infobox	811242	0.2464765199776575%	15.180207589266297%
27	miejsce	805792	0.24482066755152787%	15.425028256817825%
28	rok	770067	0.233966478941715%	15.65899473575954%
29	m	736965	0.22390922627937698%	15.882903962038919%
30	pañstwo	687835	0.20898224835355175%	16.09188621039247%
31	com	685441	0.20825488859058766%	16.300141098983058%
32	the	669388	0.20337756767376958%	16.503518666656827%
33	url	658293	0.20000661672552958%	16.703525283382355%
34	jako	625409	0.19001559816023675%	16.89354088154259%
35	opis	625203	0.18995300997679038%	17.083493891519385%
36	stronê	621549	0.18884282928595048%	17.272336720805335%
37	oraz	612927	0.1862232403652001%	17.458559961170533%
38	score	598851	0.1819465837137872%	17.64050654488432%
39	jêzyk	589660	0.17915411772322626%	17.819660662607546%
40	dostêpu	586475	0.17818643148887345%	17.99784709409642%
41	s	570316	0.17327690500193246%	18.171123999098352%
42	commons	545979	0.1658826883973974%	18.33700668749575%
43	en	544628	0.1654722192913972%	18.502478906787147%
44	imiê	539805	0.1640068658508058%	18.666485772637955%
45	•	517832	0.15733089422523774%	18.82381666686319%
46	gmina	504534	0.15329061430548152%	18.977107281168674%
47	of	502774	0.1527558803109883%	19.129863161479662%
48	¿e	496973	0.15099338491209327%	19.280856546391753%
49	nazwisko	496903	0.15097211708276684%	19.431828663474523%
50	cytuj	481536	0.14630322089334782%	19.57813188436787%
51	za	474934	0.14429736076173175%	19.7224292451296%
52	by³	462129	0.14040686712566025%	19.862836112255263%
53	zosta³	454031	0.13794648309872493%	20.000782595353986%
54	de	451840	0.1372808000408075%	20.138063395394795%
55	opublikowany	448007	0.13611623447211854%	20.27417962986691%
56	zdjêcie	436426	0.13259762402312644%	20.406777253890038%
57	jego	428909	0.13031376297960054%	20.53709101686964%
58	dla	419949	0.1275914808258168%	20.664682497695456%
59	autor	406670	0.12355697360259203%	20.78823947129805%
60	pod	403476	0.12258655293304012%	20.91082602423109%
61	html	389961	0.11848034274237193%	21.02930636697346%
62	in	384521	0.11682752857757467%	21.146133895551035%
63	f	383808	0.11661090054457826%	21.262744796095614%
64	e	378905	0.11512124101332809%	21.37786603710894%
65	liczba	378365	0.1149571749013813%	21.49282321201032%
66	przypisy	369314	0.11220724456947322%	21.605030456579797%
67	co	364990	0.11089350036936599%	21.715923956949162%
68	tym	363881	0.11055655718760861%	21.82648051413677%
69	p	363574	0.11046328256470553%	21.936943796701474%
70	jpg	354916	0.10783275590315872%	22.044776552604635%
71	kod	348599	0.10591348621951455%	22.15069003882415%
72	bgcolor	346417	0.10525053759679623%	22.255940576420944%
73	s¹	344926	0.10479753283214316%	22.360738109253088%
74	latach	344610	0.10470152377404097%	22.46543963302713%
75	jak	342619	0.1040966059427705%	22.5695362389699%
76	cest	337966	0.10268290294482903%	22.672219141914727%
77	numer	335244	0.10185588821016392%	22.774075030124894%
78	org	335101	0.10181244107311135%	22.875887471198006%
79	te¿	334697	0.10168969531528449%	22.97757716651329%
80	polski	330147	0.10030728640906621%	23.077884452922355%
81	ii	323767	0.09836887567902824%	23.176253328601383%
82	ur	320617	0.09741182335933865%	23.27366515196072%
83	c	320363	0.09733465152149702%	23.370999803482217%
84	d	318795	0.09685825214458486%	23.467858055626802%
85	ze	318665	0.09681875474726434%	23.564676810374067%
86	strony	307619	0.09346269127955285%	23.658139501653622%
87	wsi	307193	0.09333326134679483%	23.751472763000415%
88	n	302740	0.09198032357550032%	23.843453086575916%
89	dyskusja	300783	0.09138573583275983%	23.934838822408675%
90	grafika	300081	0.091172449887229%	24.026011272295904%
91	usa	299394	0.0909637213336967%	24.1169749936296%
92	miejscowoœæ	295428	0.08975874688928753%	24.20673374051889%
93	linki	293858	0.08928173986010891%	24.296015480378998%
94	b	292607	0.08890165336743218%	24.38491713374643%
95	zewnêtrzne	290865	0.08837238824333718%	24.473289521989766%
96	herb	289127	0.08784433842377512%	24.56113386041354%
97	mpl	288365	0.0876128229102502%	24.648746683323793%
98	bibliografia	287037	0.08720934180531441%	24.735956025129106%
99	wrzeœnia	283316	0.08607880476354775%	24.822034829892655%
100	lub	282688	0.0858880019518763%	24.90792283184453%
101	gminy	279258	0.08484587831488097%	24.992768710159414%
102	team	277633	0.08435216084837444%	25.077120871007786%
103	zdjêcia	276812	0.08410271959298868%	25.161223590600777%
104	isbn	274665	0.08345040488493359%	25.24467399548571%
105	tak¿e	274079	0.08327236277085799%	25.32794635825657%
106	przy	272599	0.08282270009367051%	25.410769058350237%
107	warszawa	271060	0.08235511167462217%	25.49312417002486%
108	km	265999	0.0808174476143209%	25.573941617639182%
109	nr	264332	0.0803109694502185%	25.6542525870894%
110	id	264149	0.08025536926783654%	25.734507956357234%
111	paŸdziernika	263446	0.08004177949617247%	25.814549735853408%
112	tego	262397	0.07972306588240918%	25.894272801735816%
113	wysokoœæ	256448	0.07791560421579542%	25.972188405951613%
114	lat	250885	0.07622541943661028%	26.048413825388224%
115	v	250106	0.07598873887882038%	26.124402564267044%
116	jednostka	247983	0.07534371599796291%	26.199746280265007%
117	marca	246757	0.07497122515861707%	26.274717505423624%
118	wydawca	245809	0.07468319798431049%	26.349400703407934%
119	stycznia	244315	0.07422928174125772%	26.42362998514919%
120	maja	243592	0.07400961544692895%	26.49763960059612%
121	grudnia	240269	0.07300000120618975%	26.57063960180231%
122	œmierci	238129	0.0723498132810673%	26.642989415083377%
123	ale	237465	0.0721480727285994%	26.715137487811976%
124	który	236939	0.0719882601825179%	26.787125747994494%
125	mapa	236723	0.07192263373773919%	26.859048381732233%
126	cet	236517	0.07186004555429282%	26.930908427286525%
127	ksi¹¿kê	236451	0.07183999302949932%	27.002748420316024%
128	stopnin	236120	0.07173942657939861%	27.074487846895426%
129	jednak	235985	0.0716984100514119%	27.146186256946837%
130	php	235758	0.07162944151916761%	27.217815698466005%
131	minutn	235614	0.0715856905559818%	27.289401389021986%
132	ma	235336	0.07150122689094253%	27.360902615912927%
133	x	233487	0.0709394523705914%	27.43184206828352%
134	listopada	231950	0.07047247160380953%	27.50231453988733%
135	we	229431	0.0697071335741911%	27.57202167346152%
136	lutego	229301	0.06966763617687058%	27.64168930963839%
137	defaultsort	228857	0.06953273737371432%	27.711222047012104%
138	reprezentacja	226920	0.06894422615363854%	27.780166273165744%
139	jej	225111	0.0683946046786168%	27.84856087784436%
140	sierpnia	224731	0.06827915074798759%	27.916840028592347%
141	on	223444	0.06788812651451441%	27.98472815510686%
142	urodzenia	223202	0.06781460059027158%	28.052542755697136%
143	u	222567	0.0676216709956675%	28.120164426692803%
144	l	221911	0.06742236105226547%	28.18758678774507%
145	równie¿	221052	0.0671613744038168%	28.254748162148886%
146	miasta	219851	0.06679647921780181%	28.321544641366685%
147	and	219069	0.06655888718161221%	28.3881035285483%
148	dru¿yna	218197	0.06629395079343146%	28.45439747934173%
149	sekundn	216723	0.06584611107304339%	28.520243590414772%
150	t	212897	0.06468367228728708%	28.58492726270206%
151	wieœ	212818	0.06465967002276153%	28.649586932724823%
152	pol	212261	0.06449043886654975%	28.714077371591372%
153	stopnie	210600	0.06398578365924676%	28.778063155250617%
154	kwietnia	209660	0.06370018709400606%	28.841763342344624%
155	wiersz	209335	0.06360144360070476%	28.905364785945327%
156	œwiata	208042	0.06320859641043217%	28.96857338235576%
157	minute	207530	0.06305303743021597%	29.031626419785976%
158	czerwca	205743	0.0625101001301254%	29.094136519916102%
159	class	204624	0.06217011868703566%	29.156306638603137%
160	lipca	201465	0.06121033193214696%	29.217516970535286%
161	typ	201297	0.061159289141763516%	29.27867625967705%
162	tak	197392	0.05997284809148166%	29.33864910776853%
163	gêstoœæ	195545	0.059411681223397%	29.398060788991927%
164	rowspan	192633	0.058526939523417296%	29.456587728515345%
